time, leader_x, leader_y, follower_x, follower_y
10016,0.3623843254327164,-0.0008379564080320042,0.053899114498408486,0.009424165440205795
10048,0.36227732417435726,-0.0007989585003193892,0.053972451312750906,0.009433246525269843
10080,0.3620738785857263,-0.000720307803534986,0.053969939078931155,0.009431783920146654
10112,0.36221569235126577,-0.0007861049331759512,0.05382929829836934,0.009415302943787408
10144,0.3621689526746288,-0.0007689940374799216,0.053817803258039455,0.00941350616294548
10176,0.36203998983022134,-0.0007071614860047096,0.05380956099330662,0.009412296693821603
10208,0.3618807827154774,-0.0006210918100217818,0.053803140354169075,0.009411260364940402
10240,0.3617199592332053,-0.0005248494417461742,0.05379810516815018,0.009410351199411505
10272,0.3615728326217883,-0.00042841122043839905,0.05379416989624321,0.009409603570452356
10304,0.36144714192775435,-0.00033901986915086323,0.05379111321297721,0.009409019874292674
10336,0.3613213800883573,-0.0002787007624297036,0.05378875618505712,0.009408569964853616
10368,0.3613225162971599,-0.00027736724069047617,0.05378687685607849,0.009408201419241792
10400,0.36132488063120083,-0.00027725216580950205,0.05353430439539496,0.009376084247019835
10432,0.36132686230163685,-0.00027721497001856874,0.05326958248325703,0.00935694368773965
10464,0.36132846557312664,-0.00027718078848009667,0.05315954682324758,0.009361571776877855
10496,0.36132975971841047,-0.00027714422744624516,0.05327677581415594,0.009363877800752072
10528,0.361330804774378,-0.0002771046568059512,0.05341738120684611,0.009349654087591974
10560,0.36133164961280595,-0.00027706215133683874,0.05345668419407148,0.009345670884268357
10592,0.3613323028303636,-0.0002770518299767446,0.053456914895346264,0.009345912627086086
10624,0.36133280555050146,-0.0002770649892702236,0.05345416341899046,0.009346504404715916
10656,0.36133320122993823,-0.00027708263570293555,0.053451908704249936,0.009346979582463808
10688,0.36133351238694006,-0.0002771022625964256,0.05345016425721765,0.00934734441470054
10720,0.3613337568298469,-0.0002771222074649424,0.05344884422658056,0.009347619164426257
10752,0.3613339486261329,-0.0002771413820055426,0.053447871893798314,0.009347821045282563
10784,0.3613340989507858,-0.0002771591659588912,0.05344718309250138,0.009347964094081422
10816,0.3613342166064906,-0.0002771752042735765,0.05344672468300253,0.009348059711215575
10848,0.3613343085632452,-0.00027718935905712345,0.05344645300373646,0.009348117124379803
10880,0.3613343803018942,-0.00027720160708146315,0.05344629984829343,0.009348154158804939
10912,0.3613344361483976,-0.0002772120147094655,0.05344617837201867,0.009348194385064623
10944,0.3613344795122617,-0.0002772207001594427,0.0534460816012067,0.009348235101175247
10976,0.36133451308660014,-0.0002772278162547149,0.05344600464336461,0.009348274555640792
11008,0.36133453896971296,-0.0002772335079610739,0.05344594358012456,0.009348311667243443
